index;x;y;plus_shift
33;71.01;185.03;1
34;487.97;108.11;1
35;148.54;183.20;1
36;188.22;183.81;1
37;227.90;185.64;1
38;304.82;186.25;1
39;487.97;107.50;0
40;381.74;184.42;1
41;420.81;185.03;1
42;342.06;184.42;1
43;496.51;185.64;1
44;392.12;67.82;0
45;457.44;184.42;0
46;431.80;65.98;0
47;470.87;67.82;0
48;419.59;185.03;0
49;71.01;185.03;0
50;109.47;183.81;0
51;148.54;185.64;0
52;188.22;186.25;0
53;226.68;186.25;0
54;265.14;185.64;0
55;304.82;185.64;0
56;342.06;185.64;0
57;382.35;185.03;0
58;449.51;107.50;1
59;449.51;107.50;0
60;392.12;66.59;1
61;496.51;183.20;0
62;431.80;67.82;1
63;471.48;65.37;1
64;110.08;183.20;1
65;102.75;106.89;1
66;277.96;67.82;1
67;197.99;67.21;1
68;179.06;106.89;1
69;168.69;144.13;1
70;218.75;106.28;1
71;257.82;104.44;1
72;296.28;106.28;1
73;362.21;147.18;1
74;333.52;105.67;1
75;372.59;105.67;1
76;411.66;105.67;1
77;354.27;67.21;1
78;315.81;66.59;1
79;400.67;143.51;1
80;440.35;145.35;1
81;91.16;144.74;1
82;208.37;144.74;1
83;141.83;108.11;1
84;246.83;145.96;1
85;323.14;146.57;1
86;237.67;67.21;1
87;129.01;145.35;1
88;160.75;67.82;1
89;285.29;145.96;1
90;122.00;67.21;1
91;478.81;145.96;0
92;564.28;146.57;0
93;516.05;145.35;0
94;263.92;186.86;1
95;458.66;186.86;1
96;32.55;185.64;0
97;103.37;106.89;0
98;277.35;66.59;0
99;199.21;65.98;0
100;179.67;106.28;0
101;168.69;145.96;0
102;218.75;106.89;0
103;258.43;106.89;0
104;295.67;108.11;0
105;362.21;145.35;0
106;334.13;107.50;0
107;374.42;106.89;0
108;411.66;106.28;0
109;353.05;65.98;0
110;315.81;67.82;0
111;401.28;144.74;0
112;439.13;145.35;0
113;92.38;146.57;0
114;206.54;147.18;0
115;141.83;107.50;0
116;246.22;145.35;0
117;323.75;146.57;0
118;238.89;67.82;0
119;129.62;148.40;0
120;160.75;67.82;0
121;285.29;145.96;0
122;122.90;67.82;0
123;478.20;145.96;1
124;561.83;147.18;1
125;517.27;145.96;1
126;31.94;185.03;1